ID,Main Artist,Featuring,Song,Key,BPM,Duration,Genre,Language,Country,Year Released,Arrangement,Piano?,Guitar solo?,Classic?,Main Artist_normalized,Featuring_normalized,Song_normalized,Genre_normalized,Language_normalized,Country_normalized,Arrangement_normalized,Key_normalized,BPM Range,Year Range
31.0,Train,,Play That Song,Eb,99,4:09,['Pop'],['English'],['United States'],2016,[],,,,train,,play that song,['pop'],['english'],['united states'],[],eb,90.0,2010.0
32.0,GALE,,D Pic,G,82,2:25,['Latin Pop'],['Spanish'],['Puerto Rico'],2021,[],,,,gale,,d pic,['latin pop'],['spanish'],['puerto rico'],[],g,80.0,2020.0
33.0,GALE,,Problemas,Am,133,3:17,['Latin Pop'],['Spanish'],['Puerto Rico'],2022,[],,,,gale,,problemas,['latin pop'],['spanish'],['puerto rico'],[],am,130.0,2020.0
34.0,GALE,,1+1,B,110,3:07,['Latin Pop'],['Spanish'],['Puerto Rico'],2022,[],,,,gale,,1+1,['latin pop'],['spanish'],['puerto rico'],[],b,110.0,2020.0
35.0,Bebe,,Siempre me quedará,Am,77,3:39,['Pop'],['Spanish'],['Spain'],2004,[],,,,bebe,,siempre me quedara,['pop'],['spanish'],['spain'],[],am,70.0,2000.0
36.0,Boyce Avenue,Megan Nicole,Heaven,B,65,4:08,['Pop'],['English'],['United States'],2012,[],,,,boyce avenue,megan nicole,heaven,['pop'],['english'],['united states'],[],b,60.0,2010.0
37.0,Boyce Avenue,,Can't Help Falling In Love,F,66,2:19,['Pop'],['English'],['United States'],2010,[],,,,boyce avenue,,can't help falling in love,['pop'],['english'],['united states'],[],f,60.0,2010.0
38.0,Servando y Florentino,,Muchacho Solitario,C,72,4:46,['Latin Pop'],['Spanish'],['Venezuela'],1997,[],,,,servando y florentino,,muchacho solitario,['latin pop'],['spanish'],['venezuela'],[],c,70.0,1990.0
39.0,Servando y Florentino,,Tu Amor,C,120,3:54,['Latin Pop'],['Spanish'],['Venezuela'],1998,[],,,,servando y florentino,,tu amor,['latin pop'],['spanish'],['venezuela'],[],c,120.0,1990.0
40.0,Servando y Florentino,,Te Encontre,A,92,3:02,['Latin Pop'],['Spanish'],['Venezuela'],1999,[],,,,servando y florentino,,te encontre,['latin pop'],['spanish'],['venezuela'],[],a,90.0,1990.0
41.0,Victor Muñoz,,Si o No,Bb,120,3:29,['Latin Pop'],['Spanish'],['Venezuela'],2005,[],,,,victor munoz,,si o no,['latin pop'],['spanish'],['venezuela'],[],bb,120.0,2000.0
42.0,Victor Muñoz,,Enamorado de ti,G,95,3:49,['Latin Pop'],['Spanish'],['Venezuela'],2011,[],,,,victor munoz,,enamorado de ti,['latin pop'],['spanish'],['venezuela'],[],g,90.0,2010.0
43.0,Georgina,,Bienvenido a mi habitación,Bm,112,3:13,['Pop'],['Spanish'],"['Venezuela', 'Spain']",2009,[],,,,georgina,,bienvenido a mi habitacion,['pop'],['spanish'],"['venezuela', 'spain']",[],bm,110.0,2000.0
44.0,Georgina,,Mi amiga soledad,B,128,3:29,['Pop'],['Spanish'],"['Venezuela', 'Spain']",2012,[],,,,georgina,,mi amiga soledad,['pop'],['spanish'],"['venezuela', 'spain']",[],b,120.0,2010.0
45.0,Georgina,,Quedate allí,Gb,105,2:57,['Pop'],['Spanish'],"['Venezuela', 'Spain']",2012,[],,,,georgina,,quedate alli,['pop'],['spanish'],"['venezuela', 'spain']",[],gb,100.0,2010.0
46.0,Michael Bublé,,Hold On,F,66,4:05,['Jazz/Pop'],['English'],['Canada'],2009,[],,,,michael buble,,hold on,['jazz/pop'],['english'],['canada'],[],f,60.0,2000.0
47.0,Michael Bublé,,Home,G,64,3:46,['Jazz/Pop'],['English'],['Canada'],2005,[],,,,michael buble,,home,['jazz/pop'],['english'],['canada'],[],g,60.0,2000.0
48.0,Sin Bandera,,Magia,G,103,4:43,['Latin Pop'],['Spanish'],"['Argentina', 'Mexico']",2003,[],,,,sin bandera,,magia,['latin pop'],['spanish'],"['argentina', 'mexico']",[],g,100.0,2000.0
